"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","zero payment amount returns zero amounts","test/src/utils/refund_calculator_test.dart","2026-04-01","passed","2026-04-01","","RefundCalculator binary policy","",""
"","6","createFromParty copies metadata from party","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event","",""
"","80","구독 시작: 채널 생성 + subscribe 호출","test/src/features/home/logic/event_realtime_provider_test.dart","2026-04-01","passed","2026-04-01","","eventRealtimeProvider","",""
"","12","필터 변경 시 serverOffset 0으로 리셋 후 재로드","test/src/features/explore/providers/recommendation_feed_notifier_test.dart","2026-04-01","passed","2026-04-01","필터 변경 시 리셋","RecommendationFeedNotifier","",""
"","806","홈 AsyncError → 에러 메시지 + 다시 시도 버튼","test/integration/flow_event_browse_test.dart","2026-04-01","passed","2026-04-01","","이벤트 탐색 플로우 — 홈→상세→파트너","",""
"","2","throws on RPC error","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getEntryGroupParticipantCounts","EventRepository Queries","",""
"","49","past cards have reduced opacity","test/src/features/my_tickets/ui/my_tickets_page_test.dart","2026-04-01","passed","2026-04-01","","MyTicketsPage","",""
"","574","renders with label and color","test/src/ui/widgets/common/minglit_tag_test.dart","2026-04-01","passed","2026-04-01","","MinglitTag","",""
"","38","calls correct callbacks","test/ui/widgets/common/minglit_bottom_cta_test.dart","2026-04-01","passed","2026-04-01","dual variant","MinglitBottomCTA","",""
"","3","birth year max only","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event conditionSummaries","",""
"","68","from 파라미터 → 로그인 후 원래 경로로 복귀","test/integration/flow_notification_routing_test.dart","2026-04-01","passed","2026-04-01","","로그인 복귀","",""
"","7","returns null when no tickets exist","test/src/features/event/admission/ticket_recommendation_util_test.dart","2026-04-01","passed","2026-04-01","","TicketRecommendationUtil","",""
"","5","keeps events with eligible tickets","test/src/features/explore/logic/eligibility_filter_test.dart","2026-04-01","passed","2026-04-01","","EligibilityFilter","",""
"","216","successful load renders partner list","test/src/features/settings/blocked_partners_page_test.dart","2026-04-01","passed","2026-04-01","","BlockedPartnersPage — Fix #270 회귀 테스트","",""
"","4","returns empty when user not authenticated","test/src/data/repositories/matching_repository_test.dart","2026-04-01","passed","2026-04-01","getMyMatches","MatchingRepository","",""
"","88","renders notification bell icon","test/src/features/home/home_page_app_bar_test.dart","2026-04-01","passed","2026-04-01","when user is logged in with avatar","HomePage AppBar - Auth-aware widgets","",""
"","7","calls initialize() for each signedIn event","test/src/features/notification/notification_initializer_test.dart","2026-04-01","passed","2026-04-01","","notificationInitializerProvider","",""
"","34","QR button tap calls onQRTap callback","test/src/features/my_tickets/ui/my_tickets_page_test.dart","2026-04-01","passed","2026-04-01","","MyTicketCard","",""
"","188","로그인 상태: 동의 여부 로딩 중이면 보호 경로 리다이렉트를 건너뛴다","test/integration/consent_redirect_test.dart","2026-04-01","passed","2026-04-01","","Signup Consent Redirect Flow","",""
"","4","rethrows when supabase signOut fails","test/src/data/repositories/auth_repository_test.dart","2026-04-01","passed","2026-04-01","signOut","AuthRepository","",""
